"","x"
"1027","Some people wanted to go back to their provinces before the implementation of the community quarantine in Metro Manila. What if those people unconsciously carry COVID-19, and they may spread it to their provinces? How well this could be? "
"1028","It’s very alarming.
Let’s pray for everyone’s safety. 
Hope this will end soon.
God is always with us.<U+0001F64F><U+0001F614><U+0001F64F>
"
"1029","Massive sanitation startin’ next week. Make it happen please <U+0001F64F> "
"1030","keep safe everyJUAN "
"1031","HEAL THE WORLD "
"1032","Please make sure those who take care of our health and security/safety are safe too (including but not limited to healthcare workers, policemen, etc) "
"1033","I keep imagining a siren will go off at midnight to commence the community quarantine. Why do I feel like this is The Purge IRL?

"
"1034","Thank you Mayor "
"1035","All life is an experiment. The more experiments you make the better.

Ralph Waldo Emerson

"
"1036","we arent ready, are we?? "
"1037","Alcohol and hand sanitizers are good to protect yourself from "
"1038","We need to pray for the health of our medical professionals who are doing their best to help facilitate all patients. May the Government provide them enough gears for them to continue defeating this pandemic COVID-19. Salamat Doc! <U+0001F64F><U+0001F3FC>  "
"1039","All Cases 98
Active Cases 88
Deaths 8 
Recovered 2
"
"1040","Found a solution to chronic traffic woes........
"
"1041","Massive testing po l, please "
"1042","Either BODY LOCKDOWN or COMMUNITY LOCKDOWN.
You choose.
"
"1043","Please give other buyers the chance to purchase their needs <U+0001F642>

Stay at home. Rest well. <U+2764>

Full "
"1044","Kapatid, pls protect yourself not only with mask and alcohol but also with prayer.

Stay safe wherever you are.

"
"1045","Keep safe!

"
"1046","I strongly agree! <U+261D><U+FE0F><U+0001F64F> "
"1047","Andrew Fassbach: ""Mother nature is a serial killer, no one's better, more creative, but like all serial killers, she can't help the urge to want to get caught.""
"
"1048","My greatest happening in life today was i exposed over a hundreds of people by community quarantine lock down in the city my commitment is till do us part in coronavirus infections. "
"1049","probably my outfits starting on monday for online classes- see you in one month my dear pants. 

"
"1050","Why are these people calling it martial law? It's just funny how Filipinos react with the current situation.

As far as I know, community quarantine, lockdown, and martial law are different.

"
"1051","Stay safe everyone.. <U+0001F64F>
Stay strong.. <U+0001F4AA>
Lets care for one another.. <U+0001F917>

"
"1052","Keep Safe Everyone.. 
"
"1053","I hope both parties are doing their very best to prevent COVID-19 from further spreading: the government to provide enough support, and the people to comply and be unified in fighting this through. "
"1054","Sadt but true hays <U+0001F614>

"
"1055","Pray for cure
Pray for the affected people
Pray for the frontliners
"
"1056","If you want to help fight the Covid-19 then please, take precautions. Don't entertain thoughts such as ""nah I'm fine, healthy ako"" ""its far from here anyway"", no. You can spread the disease for days and days before the symptoms shows. "
"1057","PLM announces flexible work arrangement for employees from March 15 to April 12, 2020 amid "
"1058","Father will heal our land
covd-19 will end in Jesus name
 "
"1059","Just a suggestion, can we employ/deploy some kind of ""pandemic"" officer, 2 ""pandemic"" officers for every group with a certain number of police officers or something?  "
"1060","Note: ""Prevention is Better than Cure"" "
"1061","Praying for everyone’s safety <U+2764><U+FE0F><U+2764><U+FE0F> stay healthy everyone!!!

"
"1062","bring me the administration that you think you know who'll handle this case better if not duterte, it is not the best but hey they were trying, doing. this time, can y'all hide your anti-duterte asses and cooperate. at some point, we're all gonna pay the price. "
"1063","stay safe everyone !! "
"1064","Just a simple instruction<U+2764>
"
"1065","What is clear so far about the Metro Manila Community Quarantine set to be implemented few hours from now. "
"1066","Until we meet again...physically. For now, let's enjoy the loving embrace of our family. Let us pray for those in the frontline. Let us help those whose source of incomes are compromised. "
"1067","Words are powerful, this can make the people get fooled easily. If you know nothing, then you should shut up. Be sensitive. Your actions will not just affect others but also you, yourself.
"
"1068","If the president can't give recognitions and appreciations to the people that are helping the Ph. Then, i think, we should be the one to give them all of the credits that they deserve. "
"1069","Virus kept on spreading. Be safe everyone <U+0001F64F><U+0001F3FB> "
"1070","Immune system boosters:

Citrus
Bell peppers
Broccoli
Garlic
Ginger
Spinach
Yogurt
Almonds
Turmeric
Green tea
Papaya
Kiwi
Poultry
Sunflower seeds
Shellfish

"
"1071","What to expect with announcing the community quarantine. Lahat talaga mag papanic! My gosh! "
"1072","We will see nalang what will happened on the next week! Who are we to tell the powerful one! <U+0001F644> "
"1073","How can we help as a citizen: Practice common sense and HAVE DISCIPLINE; Cooperate with government; Be calm and have restraint in action; Most of all, help and thank our health workers and frontliners who keep us safe. <U+0001F60A> "
"1074","Keep safe and practice proper hygiene everyone. Don’t forget to drink alot of water. 

"
"1075","Heal those who are sick with the virus. May they regain their strength and health through quality medical care. Lord please heal the world! <U+0001F64F> We trust in you. <U+0001F64F><U+0001F607>

 "
"1076","From 64-98 in a breeze wow
"
"1077","Another win for us against "
"1078","Protect you and your family with these simple tips that you can do to stay healthy.

Sources: Department of Health PH &amp; Manila Bulletin

"
"1079","Many lives have taken place with this disease, hopefully it will stop and disappear, also to those people loses hope please think positively because we have a God to guide us. Please keep safe guyss.. 
"
"1080","98 confirmed cases, continue praying <U+0001F64F><U+0001F3FD>

"
"1081","I am amazed by the strength and positivity of Filipinos.

Observing "
"1082","98 positive cases and 8 deaths. <U+0001F62D> <U+0001F62D><U+0001F62D>
"
"1083","Its kinda bit funny and ridiculous how people                           react with this "
"1084","Why don't we help by giving our suggestions to the goverment? "
"1085","Please enlighten me with the sacry increase "
"1086","I hope every1 is still being safe &amp; healthy all because of "
"1087","curious how some of the (strategically ewan) "
"1088","staaaaaaaay safe everyone "
"1089","you guys stay safe
"
"1090","Pano po yung mga restaurants, fast foods, cafes and food stalls inside malls of metro Manila.. Are they allowed to operate during community quarantine? "
"1091","Basic protective measures against "
"1092","When everybody wishes that Cardo Dalisay will be dead for how many years airing the said program, domino effects are in. Hope everyone is safe. "
"1093","Dear World

How is the lockdown ?

8 Million People From "
"1094","Hello WARRIORS!

This is for Filipinos who care...We need to make a move and we should do our part to help each other. So let me start with this video to spread awareness. So ano ang naitulong mo?

"
"1095","Keep Safe "
"1096","Just follow the gov’t rules this time. Trust their process unless you have an idea on how we will prevent this virus and share it to the whole world."
"1097","We are on a pandemic and yet people here on Twitter are so freakin toxic. Pure blab but no exact solution. Just please quarantine your mouth

"
"1098","So the doctor told me to go to a level 2 hospital to get tested for "
"1099","because the truth is no country is ever ready with this magnitude of pandemic ( look at Singapore, Italy, South Korea... all are working progress )  "
"1100","You can't even follow a simple instruction from the law enforcer/ government, now you are expecting the government to listen to you? Sumunod nalang kayo! It’s for the safety of everyone. 

 "
"1101","This is important..
"
"1102","I’m no expert and I’m
Not a fan of the government either. But this is not just about you and me. It is about our country and it’s people, all 108 million of them. Let’s follow the guidelines of the Community Quarantine. It could save lives. "
"1103","China locked down Wuhan and their curve flatten. Italy locked down, their curve will flatten and could prevent deaths. Macau was in lockdown and in 3 days, all 10 confirmed already recovered and no more cases reported. "
"1104","KEEP SAFE PH MOOTS AND ALSO PEOPLE ALL AROUND THE WORLD. 

"
"1105","Less than 6 hours till ""Lockdown"". Hope it works. "
"1106","Please read...<U+0001F447><U+0001F447><U+0001F447><U+0001F64F>
"
"1107","Countries affected by COVID19 display unity except the Philippines. The crab mentality is so prominent and yet as citizens, we have never really done sth to help. We just know how to complain. "
"1108","98 confirmed cases...may God touch us with His healing hands and give us the comfort and strength we need to get through these trying times...<U+0001F64F><U+0001F64F>

"
"1109","a good way to make others understand the importance of washing hands with soap :))
"
"1110","Stay strong Philippines. <U+0001F64F><U+0001F3FB><U+0001F44A><U+0001F3FB>

"
"1111","Please cooperate. 

"
"1112","How about those poor people (that already have the disease w/o even knowing) roaming around the city who doesn't even know how to sanitize themselves and can't even afford to go to the hosp? I hope the gov't will care and do something about them too. "
"1113","Lord God,

Please help the scientsts find the cure for "
"1114","Lord God,

Please bless and protect the people who are front liners in this so called "
"1115","Please spread the news

"
"1116","Stay Clean 
Stay Healthy

Almost 100 cases of "
"1117","In Him we trust "
"1118","DOH requires the public to have a high level of suspicion. In any case you feel any of the symptoms, seek medical attention. Better be safe than sorry. "
"1119","There are 34 new cases of Covid-19 in the Philippines as of Saturday 5pm PST adding up to the prior cases (64). In general, we have 98 cases. 
"
"1120","I hope this will end soon <U+0001F64F><U+0001F64F><U+0001F64F> don’t forget to pray guys magiging ok rin ang lahat <U+0001F622><U+0001F601><U+0001F607> "
"1121","Heal our Land, Lord "
"1122","Martial Law , Community Quarantine or Lockdown call it whatever just cooperate

"
"1123","Stay safe, nothing can be more powerful than our faith that God is always with us! "
"1124","Guys, if there is nothing important to do outside, let's stay at home... 
"
"1125","Stay calm and pray. Do not panic-buy. Follow community quarantine rules. We will get through this! "
"1126","The Philippines' National Capital Region (NCR), or the Metro Manila will be under COMMUNITY QUARANTINE for a month effective tomorrow, March 15, 2020.. Stay safe, y'all! "
"1127","What a great video to educate kids about the importance of washing their hands <U+270B><U+0001F91A>"
"1128","Well, people should not be allowed to panic buy. But I encourage everyone in I know to panic buy, if I can go with them and get a cut. "
"1129","Can't wait to finally see Metro Manila in its noisiest state again :( "
"1130","First ever MA class/report (due to CoViD-19), done! Stay safe and healthy! "
"1131","I mean, I don't know. Can we really expect some people to see how abusive some systems can be, when those types of set-up benefit them and their sense of identity? Privilege can be very blinding. "
"1132","Just stay Calm Guys!
Let the Government officials do their job <U+263A><U+FE0F>  Just stay at home and pray <U+0001F64F><U+0001F3FB>"
"1133","Please be safe. 
 "
"1134","STAY AT HOME GUYS. KEEP SAFE! "
"1135","We will beat this together! Please EVERYONE COOPERATE "
"1136","We don't need to panic, just stay calm and follow the protocols and safety precautions. And above all pray!<U+0001F64F><U+0001F3FF><U+0001F495> "
"1137","Strict LGU/DOH  monitoring and random inspection of PUIs and PUMs please   "
"1138","Best  is to stay at home. Follow required hygiene and do our best to make sure immune system of our family is at best!  Pray also for healing of the  afflicted and strength &amp; good health of  frontliners <U+0001F64F> "
"1139","from 64 to 98 people tested nCoV positive. please, take good care of yourselves. "
"1140","Before we decide to close the malls, kindly consider those who work there. They have bills to pay and mouth to feed. Any conringency plan on that? "
"1141","gago 98 confirmed cases of Covid19 na  "
"1142","Keep safe Philippines. Pray for PH. 

"
"1143","Stay safe everyone !! Always proper handwash po tayo and bring always hand sanitizer/alcohol wid you.. Labanan si covid!!

"
"1144","Self dicipline guys please. Wag na matigas ulo. "
"1145","Stay safe, everyone! "
"1146","thank you for sharing this. guys! show this to ur kids oh. it'll be easier to convince them to wash their hands regularly. "
"1147","In other countries, the recovery cases of "
"1148","Hats off to all our frontliners. You the real MVP! "
"1149","Guys this is the best time to cooperate and help each other! Lalaban  "
"1150","Please comment on this thread for ways we can safely help each other.

"
"1151","Hahays grabe naman. Keep safe guys. 
"
"1152","64+34 new cases = 98 cases in total
8 deaths/98 cases = 8.2% mortality rate  "
"1153","I hope wag na magsisihan about sa "
"1154","This is very alarming. Lord, please heal the nation.<U+0001F62D>  "
"1155","Tuber Chat translator, Keyboard &amp; Dictionary is a reliable and simple Chat translator app along with dictionary.
"
"1156","34 new "
"1157","We'll be okay, we'll be fine
We can do this, we'll survive
We'll get through this, yes we can
We'll all be, and still be, alive

"
"1158","Stay home and pray.
"
"1159","Unang una, medical issue ang Covid19 but look what’s the highlight of his press releases. Just look at all the actions made by this govt. Puro military power. Huhulihin yung ganito ganyan.

"
"1160","LOUDER PLEASE!!!!!! 

"
"1161","Grabe from 64 to 98 real quick?             "
"1162","Globe, Smart offers free access to DOH COVID-19 tracker website
Read: "
"1163","BREAKING: The Department of Health has reported 34 new cases of COVID-19 in the country, bringing the total number of cases to 98. | via Virgil Lopez, GMA News Online

"
"1164","34 new cases?? Ganon kabilis  shocksss "
"1165","Safety first <U+0001F637> "
"1166","Pray for strong Immune System and protection for all the Filipinos. <U+2764><U+0001F64F>
"
"1167","Community quarantine and martial law are different. "
"1168","Civil Procedure 51 students. "
"1169","Prevention is better than cure.
 "
"1170","For all the people who love to complain and resist whatever the government instructs us to do, I’m sure u don’t have better solutions. And if ever u have, government hotlines are open, just call them for ur suggestions."
"1171","STAY HEALTHY!!! 

"
"1172","Walked to office today and found that some people are just <U+0001F92C>.. We have been given advice to have social distancing. The minute some workmates see me they immediately reach their hands for a touch. I love the sweet gesture but I love to live. "
"1173","Workers who stop earning due to cancellations would eventually run out of money to buy food. How do we address this? What if crimes ensue just to get basic needs? "
"1174","instead of ranting and questioning the government's way of making solutions for this matter why don't you ask yourself of what you can contribute to this?"
"1175","Thank God In His Name Of Jesus. "
"1176","If our faith infringes the worldwide effort to combat the spread of COVID-19 through social distancing, then you’re only thinking of your salvation and not everyone’s safety. COVID-19 is not a religious matter; this is a pandemic that needs socio-political solutions. "
"1177","I think this is a bit premature since the Pres said to keep private sector working plus no recommendation from DOH. But people do like to loiter at the malls. I think they shld just shorten mall hours. What do you think? "
"1178","Here, healthcare workers are ignored, and the praises they rightfully deserve are given to those who are not really in the front lines. 

"
"1179","our FREEDOM. Think of the people you love. Do this for them. "
"1180","keep safe everyone..<U+0001F496><U+0001F1F5><U+0001F1ED><U+0001F30D><U+0001F64F>
"
"1181","Out of desperation, can we please contact the guy who saved us from earthquake as he said the word “STAAAP?” "
"1182","When will I see him again <U+2639><U+FE0F>
Hope this will end soon <U+0001F64F>
"
"1183","Free professional nutrition advice on how to optimize your immune system to help prevent or fight COVID-19. Lines are open from 1-3PM everyday (except Sunday.) "
"1184","LOOK: Marines on EDSA highway earlier today ahead of Manila’s “lockdown” at midnight  tonight <U+0001F4F8> courtesy of Obet de Castro "
"1185","WATCH TO END: A line of fully-laden shopping trolleys snakes around this "
"1186","May fear be removed from all of our hearts as we continue to brave this season together as a community and as a nation. "
"1187","[CALL FOR DONATIONS] The U.P. Medical Foundation, Inc. is now accepting donations. Fund will be used to provide PPE for the PGH personnel who will be collecting the samples and for those who are in need. Details below:

"
"1188",": What is the point of community quarantine if the gov't still allows international flights in and out of the country?

"
"1189",": Community quarantine + curfew as a rehearsal for nationwide martial law.

"
"1190",": So please tell me. How does a curfew stop a virus?

Meron bang working hours ang virus that I do not know of? <U+0001F914>
 
"
"1191",": Not let's think about this with a level-head... How are we going to contain this coronavirus if we keep letting in tourists, especially from epicenters like China and Europe?

Doesn't this defeat the purpose of a community quarantine and/or lockdown?

"
"1192","paano po yung mga night shift workers sa implementation ng curfew? just a question from a citizen.. i mean, its not about circumventing the law, right? "
"1193","An additional reason to hate China "
"1194","This may be a small thing for many but I have started giving away handwashing liquids. If you have extra means, may I encourage you to do the same. Soap, sanitation materials, masks etc. Let's look out for the welfare of others as well. Salamat. "
"1195","When the rest of the world takes a step back, we step forward.

"
"1196","Duterte Supporters = tagged as Dumb by the haters...
Duterte Haters = tagged as Smart by themselves...

Uhm??

"
"1197","DON'T TOUCH MEN! 
<U+0001F444>Mouth
<U+0001F442> Ears
<U+0001F443> Nose
HOME QUARANTINE
STRENGTHEN IMMUNE SYSTEM by eating fruits and vegetables! 
"
"1198","Freezing my gym membership for now. Will start doing body weight exercises at home, maybe do dance tutorials on YouTube as well to make it a little more interesting. Don’t let this pandemic stop you from maintaining an active lifestyle! "
"1199","My heart is at ease bcoz of the suspension of classes. It's for our students safety. But we teachers are still required to report. So, what are we? Robots? <U+0001F92C>
"
"1200","The best appreciation you can give to us health workers is your obedience and cooperation. We can't do this alone. 
Let's help each other surpass this public health crisis. 

"
"1201","NO WATER!! NO ALCOHOL!!!! JUST WOW!!! "
"1202","""I think there must be safety in numbers. If you f - up enough times, they forget which one you really did. They start thinking, ""Well, nobody can be that bad."""" ~ Willie Nelson "
"1203","""They who can give up essential liberty to obtain a little temporary safety deserve neither liberty nor safety."" ~ Benjamin Franklin "
"1204","""I'm active in PAX, which is a gun awareness organization. We treat gun safety as a public health issue."" ~ Mandy Patinkin "
"1205","""A well-regulated militia, being necessary to the security of a free state, the right of the people to keep and bear arms shall not be infringed."" ~ James Madison "
"1206","""There is safety in numbers."" ~ Euripides "
"1207","""There is no safety in numbers, or in anything else."" ~ James Thurber "
"1208","For whatever is happening right now, We have a Bigger God! Selfcare and self love for everyone, better be safe than sorry. Remember, everything happens for a reason.  "
"1209","keep safe 

"
"1210","We would like to inform you that effective on Monday, March 16, 2020 our temporary office hours will be:

<U+0001F4CD>Monday: 11:00AM- 4:00PM (Skeletal Workforce)
<U+0001F4CD>Tuesdays to Sundays &amp; Holidays: CLOSED

 "
"1211","What if instead of AFP and PNP, why not put hygiene officers on check points so they can fumigate entry/exit points of Manila.

+those hygiene officers be subsidized with proper equipment to help prevent the spread of virus and protect them like a hazmat suit? Idk "
"1212","Simple Algorithm on Covid-19   (1)

*Easy to understand/follow*

"
"1213","Simple Algorithm on Covid-19    (2)

*Easy to understand/follow*

"
"1214","Philippines is up to 64.
Stay safe everyone.
"
"1215","Keep Safe Everyone! Keep on Praying <U+0001F64F><U+0001F3FB>
"
"1216","Happy that Facundo was able to buy 6 bottles of alcohol before they got sold out  "
"1217","Be safe  guys, let us all pray for clarity of mind, guidance, and for this chapter to be end soon. Pls do follow necessary precautions better safe than sorry. Always mag ingat guys
"
"1218","BANGKO SENTRAL NG PILIPINAS, are you not planning to cut interest rate? 

There has to be economic measure to ease the impact of "
"1219","II. Adopting the Islamic and Correct Attitude

[[a thread;]]
"
"1220","III. Adopting the Islamic Cure

[[a thread;]]
"
"1221","CORONA VIRUS: The Islamic Perspective
By: Ustadh M. Baajour

I. Adopting the Islamic and Correct Mindset

[[a thread;]]
"
"1222","What? Leni have not done much in the 18 days, failed to meet relevant ICAD chiefs and delayed her report and “expertly” criticized the popular anti-drug campaign of the administration. 
Now do the same formula vs. "
"1223","Why i didn't see anyone buying bactidol in times like these? "
"1224","Even if there is no positive cases here in Northern Samar we must practice safety first..
"
"1225","stay safe "
"1226","Covid-19 Cases: *increasing*
Alcohol, disinfectant ads: *intensifies*

Stay safe po!
"
"1227","PH now has 64 covid.19 cases <U+0001F614> one of the hospitals who has covid patient is near our house. like 5-8mins away... Oh God pleaseee help them to find the cure. "
"1228","Stay safe gaiz! Bring alcohol, wear mask for extra safty. Stop panic buying and start panic praying. <U+0001F64F>

"
"1229","Kayo din
Thanks Paps "
"1230","keep safe to all "
"1231","Be safe everyone, let us all pray for guidance and clarity of mind and for this chapter to be over soon. Please do follow necessary precautions better safe than sorry. Ingat kayo. "
"1232","Philippines imposing community quarantine in Metro Manila but then allowing employees outside MM to go to MM for work. What's the point??? "
"1233","Can someone please enlighten the Philippine president. I think he's on drugs. Always groggy and sleepy.. and always thankful of China "
"1234","The massive effect of the COVID 2019

Sad news for Volley ball fans

"
"1235","The Philippines is one huge exception, though, with Duterte as president. Our National Capital Region, which houses majority of the 111 confirmed COVID-19 cases, has been increasingly militarized. "
"1236","President Rodrigo Roa Duterte will lamented as coexist with Wuhan veerus, Tokhang, fentanyl, covid-19 nowhere to found, and an Idiot President of the Philippines History. Let our present generations will tell to the future generation how this mad dog govern our Country."
"1237","Na lockdown ang China 1month ago, Praying for a fully recovered patients in their nations. And also I pray for Philippines fast recovery that cause of COVID-19 not to spread anymore, including our President Duterte's health. Be safe everyone! <U+0001F64F>"
"1238","""Dear Dilawan (critic)..

It really doesn't matter if you like President Duterte's speech. What matters is you follow the directives. Your approval is not required, only obedience. So bend over and take it. <U+0001F605> <U+0001F605>""-"
"1239","""According to Presidential Spokesperson Panelo, Duterte rejected the request of his partner Honeylet to go home to Davao City before the community quarantine of the National Capital Region on March 15 started."" "
"1240","Duterte to Filipino students: ""If you want to improve your life, make use of your time to study. Get off your phones."" "
"1241","The best example for defeating "
"1242","Duterte: The crisis is very clear. COVID-19 is spreading all throughout including the Philippines."
"1243","Quezon City Mayor Joy Belmonte admits there are 'gray areas' in President Duterte's declaration of community quarantine in Metro Manila, adds local officials will meet today to craft lockdown guidelines "
"1244","Quezon City Mayor Joy Belmonte admits there are 'gray areas' in President Duterte's declaration of community quarantine in Metro Manila, adds local officials will meet today to craft lockdown guidelines "
"1245","Ambassador of China to the Philippines Huang Xilian paid a courtesy call on President Rodrigo Duterte last night in Malacañang. Health Secretary Francisco Duque was present "
"1246","Hey ASHS!

Here's what you need to know about the 30-day community quarantine in Metro Manila declared by President Rodrigo Duterte during last night's press conference.

Keep yourselves informed and up to date with Hi-Lites' coverage of COVID-19 in the Philippines. "
"1247","JUST IN | Pres. Duterte says the Philippines has four new cases of COVID-19, bringing the total number of confirmed cases to 24. "
"1248","Philippines President Duterte to be tested for coronavirus, official says
Philippine President Rodrigo Duterte will undergo testing for the coronavirus after members of his cabinet may have been exposed to two people who tested positive for COVID-19, his former executive sec…"
"1249","I really sad when I hear <U+0001F62D> ""President Duterte declares lockdown Metro Manila for 30 days due to COVID-19"" 
.
I'm so glad, I'm already here in Indonesia. Nearly a month I returned from the Philippines, and had passed… "
"1250","Just watched President Duterte's speech. I'm at a loss for words. ""situations very clear, COVID-19 is spreading thru out the country *INCLUDING* the Philippines""???? what country is he talking about? lmaooO"
"1251","A Philippine diplomat in New York has tested positive for Covid-19, in the first recorded case at the UN headquarters.

This comes as Philippines President Rodrigo Duterte placed Manila in a lockdown for a month, to help contain the outbreak. "
"1252","This is how foreign media rephrases the words of President Duterte.. 
Meanwhile, in the Philippines, there is a journalist named Karen Davila, acting like a grade schooler with no common sense. 
"
"1253","""It's just a matter of protecting and defending you from COVID-19. That's about it."" "
"1254","*VP Leni delivers a sensible message about COVID-19*

""Put*n"
"1255","Duterte says ‘Magsayawan na lang tayo’ during speech regarding the COVID-19 situation in the Philippines, netizens recalled this movie.
"
"1256","Pres. Duterte: “Covid-19 is spreading all throughout the country including the Philippines”

di ko gets <U+0001F921> "
"1257","When Duterte said, ""Covid 19 is spreading throughout the country including the Philippines"", do you think it was an honest mistake or that he thinking about the country that he really works for, China? "
"1258","2/2
* Mass gatherings/events with groups are now prohibited in the NCR.
* Code Red- Sublevel 2 raised by Duterte.
* OFW’s will be signed a declaration that it’ll be dangerous going to China.
* China, ready to help Philippines
*Actor Tom Hanks, positive for COVID-19 and his wife"
"1259","Duterte: ""...... the crisis is very, very clear. Covid-19 is spreading all through out the country, including the Philippines"". 

Subliminally, the sanamagan referred to the Philippines as a province of China. "
"1260","President Rodrigo Duterte on Thursday night orders ‘community quarantine’ in "
"1261","President Duterte on March 8 issued a proclamation formally declaring a state of public health emergency throughout the Philippines after the health department reported the first known local transmission of the new "
"1262","Trade Union Congress of the Philippines (TUCP) calls on President Duterte to provide financial support to daily-paid and ""no-work, no-pay’ employees who might be affected should the "
"1263","Duterte interrupts his COVID-19 message to thank Xi Jinping. At this pooint I wouldn't be surprise if Duterte thank the chinese for giving us the virus. "
"1264","Other countries, even China that Duterte so reveres, focused all investments and support to healthcare to fight COVID-19.

Meanwhile, the president of the Philippines deploys military troops amid "
"1265","Philippines, have just over 50 confirmed cases of "
"1266","Ambassador Huang Xilian met with Pres Duterte last Wednesday and he conveyed China's readiness to extend assistance to the Philippines' fight against Covid-19. So what's wrong with thanking China? "
"1267","President Duterte:
Walang solution, unless there is a vaccine, by the grace of God, na makita o maimbento ng ating mga scientists. It could be the Philippines, for all you know. (referring to the vaccine for CoViD-19)

Amen to that!"
"1268","I guess I'm NOT driving to Manila this weekend. Hope I may get a Hotel Refund.
Duterte places Metro Manila on 'lockdown' due to COVID-19 "
"1269","Pres. Duterte raised the alert level into Code Red Sub-level 2 over COVID-19.

Metro Manila 
Philippines 
Filipino 
Pilipino

What’s the meaning? <U+0001F447><U+0001F447><U+0001F447> "
"1270","President Rodrigo Duterte orders a lockdown on Metro Manila (Philippines) amid the Covid-19 pandemic from midnight of March 15 until April 14, 2020. This lockdown, however, is subject to review daily. Philippines have 52 confirmed positive cases and 5 deaths. "
"1271","JUST IN: The Philippines' confirmed COVID-19 cases has reached 24, President Rodrigo Duterte announced on Monday night. "
"1272","COVID-19 is spreading throughout the country, including the Philippines.

- Duterte

A clown will always be a clown! <U+0001F921>
"
"1273","Duterte: COVID-19 is spreading throughout the country, including the Philippines

Me: "
"1274","“COVID is spreading throughout the country...

Including the Philippines.” - Pres. Duterte

San ba country mo ser, China? <U+0001F97A>"
"1275","“Covid-19 is spreading throughout the country, including the Philippines.” -Pres Duterte

Our President, everyone. <U+0001F602>
"
"1276","""CoVid is spreading through the country, including the Philippines.""
-Duterte

"
"1277","JUST IN: There are now 24 confirmed cases of COVID-19 in the Philippines.

Duterte announces the 4 additional patients after the earlier 20 confirmed ones. "
"1278","Government officials are in self-quarantine, offices have started closing or cutting work days, while President Duterte will be tested, marking a new turn on the Philippines' fight against the spread of "
"1279","Less than 24 hours after President Rodrigo Duterte confirmed 4 new cases of "
"1280","Duterte thanked Chinese President Xi Jinping for offering to help the Philippines manage the COVID-19 crisis.

""I hope it would not reach to that point, but maybe we will need your help. Salamat po,"" Duterte also said. "
"1281","Funny how I was able to see through Duterte's bullshit. From praising Bong (ga)Go to Xi Jin Ping,,, smh. God bless Philippines. Oo, hindi ka doktor but you CAN do something. You HAVE TO do something about CoVID-2019
"
"1282","“COVID-19 has spread out in the whole country... even in the Philippines.” - Rodrigo Duterte

Nadulas po si Tatay Digs, mga kapuso. Welcome to the Philippines, Province of China!"
"1283","GUYS PRESIDENT DUTERTE ANNOUNCED THAT STARTING ON MARCH 15 til' APRIL 2020 PHILIPPINES WILL BE LOCKDOWN ( DEPENDS ON THE SITUATION OF COVID-19)<U+0001F61E> PLEASE PRAY FOR EVERYONES HEALTH AND SAFETY<U+0001F64F><U+0001F3FB><U+0001F64F><U+0001F3FB><U+0001F64F><U+0001F3FB><U+0001F64F><U+0001F3FB>"
"1284","""CoVid is spreading through the country, including the Philippines.""
-Duterte
"
"1285","The community quarantine, which is essentially a lockdown, will commence in 48 hours or March 15, 2020 and last until April 14, 2020, Duterte said in a message broadcast from Malacañang around 9 p.m. Thursday.

"
"1286","READ: President Duterte orders relevant agencies to be ""absolutely transparent"" following the confirmation of two new COVID-19 cases in the Philippines. | via "
"1287","It’s spreading throughout the country...including the Philippines! - Duterte

Haaaay no wonder....Mocha syndrome! O baka naman province of C na talaga tayo?! COVID - 19 what have you done? "
"1288","READ: President Duterte orders relevant agencies to be ""absolutely transparent"" following the confirmation of two new COVID-19 cases in the Philippines. "
"1289","philippines lockdown bc of covid 19, loona 1st win impact got duterte thinking"
"1290","“The crisis is very very clear. Covid-19 is spreading all throughout the country, including the Philippines.” ~ Duterte"
"1291","I can finally understand Duterte's pronouncements. Except when he said, ""COVID-19 is spreading all throughout the country, including the Philippines."" I mean, by ""country,"" was he referring to, uhm, China? <U+0001F914>"
"1292","“Covid 19 is spreading through the country including the Philippines.” -Duterte

Ano daw?"
"1293","Duterte: COVID-19 is spreading throughout the country, including the Philippines.

HA?????? BOBO"
"1294","“PRESIDENT Rodrigo Duterte on Thursday, March 12, placed the entire Metro Manila under ""community quarantine"" for...” "
"1295","Duterte: ""Covid-19 has spread all across the country, including the Philippines"""
"1296","Duterte: COVID-19 is spreading throughout the country, including the Philippines.

Hah?"
"1297","Lord, please give our President Duterte a good health. We need our President at this very moment.

Philippines, our government cannot do this alone. Let us work together to fight against COVID-19. WE CAN DO THIS ALTOGETHER!!!"
"1298","“covid is spreading all over the country including the philippines” —rodrigo duterte, a poet "
"1299","duterte: ""covid-19 is spreading around the country including the philippines""

HAAAAAAAAAA"
"1300",": And Duterte said, ""COVID-19 is spreading all throughout the country—including the Philippines."" 

Like WHUUUUUUT? Is this Mocha Uson talking?

"
"1301","I did not just hear Duterte saying COVID-19 is spreading all over the country including the Philippines lol like i said, very stressed"
"1302","People be making fun of Duterte for saying: 
“COVID-19 is spreading through out the country, including the Philippines” 

Tama naman ah. The country he’s referring to is China"
"1303","""The covid virus is spreading throughout the country, including the Philippines.""
-President Duterte, 2k20"
"1304","President Rodrigo Duterte: 
Sa mga kababayan ko, huwag muna kayong magpanic. 
COVID-19 is speading all throughout the (world), including the Philippines. There is no cure. Yung mahina, make youself healthier. Obey what the government is suggesting or ordering you to do."
